site__ YYMMMDD yyyy.yyyy _MJD_______ time____ __east(m)_______ _north(m)________ ____up(m)_______ reflat(deg)_____ reflon(deg)_____ Height(m)_______
950203 96JUN22 1996.4726 50256.47160 12:00:00 -3.9359668702E+06 3.1865312105E+06 3.8645628112E+06 3.7533693240E+01 1.4100661129E+02 5.3540823081E+01
950203 96JUN23 1996.4754 50257.49639 12:00:00 -3.9359668465E+06 3.1865311950E+06 3.8645627899E+06 3.7533693242E+01 1.4100661126E+02 5.3505505349E+01
950203 96JUN24 1996.4781 50258.48459 12:00:00 -3.9359668639E+06 3.1865312182E+06 3.8645628157E+06 3.7533693272E+01 1.4100661118E+02 5.3543523846E+01
950203 96JUN25 1996.4808 50259.47279 12:00:00 -3.9359668593E+06 3.1865312079E+06 3.8645628063E+06 3.7533693260E+01 1.4100661124E+02 5.3529822520E+01
950203 96JUN26 1996.4836 50260.49759 12:00:00 -3.9359668552E+06 3.1865312058E+06 3.8645628010E+06 3.7533693247E+01 1.4100661123E+02 5.3523018806E+01
950203 96JUN27 1996.4863 50261.48580 12:00:00 -3.9359668557E+06 3.1865311985E+06 3.8645627963E+06 3.7533693236E+01 1.4100661130E+02 5.3516821068E+01
950203 96JUN28 1996.4890 50262.47399 12:00:00 -3.9359668508E+06 3.1865311961E+06 3.8645627860E+06 3.7533693192E+01 1.4100661128E+02 5.3506328457E+01
950203 96JUN29 1996.4918 50263.49880 12:00:00 -3.9359668621E+06 3.1865311947E+06 3.8645627971E+06 3.7533693228E+01 1.4100661137E+02 5.3519356855E+01
950203 96JUN30 1996.4945 50264.48699 12:00:00 -3.9359668600E+06 3.1865311974E+06 3.8645627998E+06 3.7533693247E+01 1.4100661134E+02 5.3521054711E+01
950203 96JUL01 1996.4972 50265.47520 12:00:00 -3.9359668663E+06 3.1865312107E+06 3.8645627929E+06 3.7533693125E+01 1.4100661126E+02 5.3527370317E+01
950203 96JUL02 1996.5000 50266.50000 12:00:00 -3.9359668593E+06 3.1865311942E+06 3.8645628022E+06 3.7533693278E+01 1.4100661136E+02 5.3520488703E+01
950203 96JUL03 1996.5027 50267.48819 12:00:00 -3.9359668642E+06 3.1865312058E+06 3.8645628198E+06 3.7533693343E+01 1.4100661129E+02 5.3540019264E+01
950203 96JUL04 1996.5054 50268.47639 12:00:00 -3.9359668676E+06 3.1865312030E+06 3.8645628104E+06 3.7533693271E+01 1.4100661134E+02 5.3534990912E+01
950203 96JUL05 1996.5081 50269.46459 12:00:00 -3.9359668817E+06 3.1865312086E+06 3.8645628124E+06 3.7533693206E+01 1.4100661139E+02 5.3547693900E+01
950203 96JUL06 1996.5109 50270.48940 12:00:00 -3.9359668694E+06 3.1865311938E+06 3.8645628011E+06 3.7533693228E+01 1.4100661143E+02 5.3525843900E+01
950203 96JUL07 1996.5136 50271.47759 12:00:00 -3.9359668452E+06 3.1865312014E+06 3.8645628209E+06 3.7533693447E+01 1.4100661119E+02 5.3526783636E+01
950203 96JUL08 1996.5163 50272.46580 12:00:00 -3.9359668675E+06 3.1865311961E+06 3.8645628043E+06 3.7533693251E+01 1.4100661140E+02 5.3527770048E+01
950203 96JUL09 1996.5191 50273.49059 12:00:00 -3.9359668733E+06 3.1865311952E+06 3.8645628107E+06 3.7533693276E+01 1.4100661145E+02 5.3534794745E+01
